"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test searching for job applications.","154","test_search_job_applications","tests.e2e","Sat Feb 14 18:48:39 UTC 2026","passed","Sat Feb 14 18:48:39 UTC 2026","","test_job_application","",""
"Test filtering jobs by status.","128","test_filter_by_status","tests.e2e","Sat Feb 14 18:48:40 UTC 2026","passed","Sat Feb 14 18:48:40 UTC 2026","","test_job_application","",""
"Test editing an existing job application.","1902","test_edit_job_application","tests.e2e","Sat Feb 14 18:48:43 UTC 2026","passed","Sat Feb 14 18:48:45 UTC 2026","","test_job_application","",""
"Test exporting jobs to HTML.","42","test_export_to_html","tests.e2e","Sat Feb 14 18:48:41 UTC 2026","passed","Sat Feb 14 18:48:41 UTC 2026","","test_job_application","",""
"Test adding a new job application.","116","test_add_job_application","tests.e2e","Sat Feb 14 18:48:36 UTC 2026","passed","Sat Feb 14 18:48:36 UTC 2026","","test_job_application","",""
"Test that required fields are enforced.","45","test_job_application_required_fields","tests.e2e","Sat Feb 14 18:48:38 UTC 2026","passed","Sat Feb 14 18:48:38 UTC 2026","","test_job_application","",""
"Test that signup page loads correctly.","142","test_signup_page_loads","tests.e2e","Sat Feb 14 18:48:33 UTC 2026","passed","Sat Feb 14 18:48:33 UTC 2026","","test_auth","",""
"Test deleting a job application.","1856","test_delete_job_application","tests.e2e","Sat Feb 14 18:48:46 UTC 2026","passed","Sat Feb 14 18:48:48 UTC 2026","","test_job_application","",""
"Test that login page loads correctly.","169","test_login_page_loads","tests.e2e","Sat Feb 14 18:48:33 UTC 2026","passed","Sat Feb 14 18:48:33 UTC 2026","","test_auth","",""
"Test that unauthenticated users are redirected to login.","144","test_unauthenticated_redirect","tests.e2e","Sat Feb 14 18:48:33 UTC 2026","passed","Sat Feb 14 18:48:33 UTC 2026","","test_auth","",""
